CUI,Hnum,DB_ref,refcode,disease,description,category,pathways,gene,pathogen,Env-factor,carcinogen,marker,drug,comment,other_DB
C0017926,H01945,MeSH,D006014,"""Glycogen storage disease type VII, Tarui disease""","""Glycogen storage disease type VII (GSD-VII), also known as Tarui disease, is an autosomal recessive disorder of glycogen metabolism. GSD-VII is caused by mutations in the PFKM gene, which encodes muscle phosphofructokinase. It is characterized by exercise-induced muscle symptoms such as premature fatigue, painful cramps, and myoglobinuria. Additional symptoms include hemolysis and myogenic hyperuricemia.""",Inherited metabolic disease,,PFKM [HSA:5213] [KO:K00850],,,,"""Myoglobinuria, Myogenic hyperuricemia""",,,"""ICD-10: E74.0, MeSH: D006014, OMIM: 232800"""
C0017980,H01126,MeSH,D006030,Familial renal glucosuria (FRG),"""Familial renal glucosuria (FRG) is a rare autosomal recessive disorder of the kidney characterized by decreased renal tubular resorption of glucose from the urine in the absence of hyperglycemia and any other signs of tubular dysfunction. The vast majority of affected individuals are asymptomatic, but there is a rare propensity to develop hypoglycemia and hypovolemia. FRG is associated with mutations in the SGLT2 gene.""",Urinary system disease; Inherited metabolic disease,,SLC5A2 [HSA:6524] [KO:K14382],,,,,,,"""ICD-10: E74.8, MeSH: D006030, OMIM: 233100"""
C0018013,H01057,MeSH,D058429,Gnathostomiasis,"""Gnathostomiasis is a parasitic infection caused by the helminths Gnathostoma species, which are endemic to tropical and subtropical regions. Humans usually become infected by eating raw freshwater fish. The clinical presentation is characterized by localized, intermittent, migratory swellings of the skin and subcutaneous tissues, often in association with localized pain, pruritus, and erythema.""",Infectious disease,,,"""  Gnathostoma spinigerum, Gnathostoma hispidum, Gnathostoma doloresi""",,,"""The triad of eosinophilia, migratory lesions, and obvious exposure risk are highly suggestive of the diagnosis of gnathostomiasis.""",,"""For many years, surgical excision of the larvae remained the only effective management.""","""ICD-10: B83.1, MeSH: D058429"""
C0018054,H00607,MeSH,D006061,"""46,XY disorders of sex development (Disorders of gonadal development), including: Gonadal agenesis, Complete and partial gonadal dysgenesis, Testis regression, Ovotesticular DSD""","""46,XY disorders of sex development (46,XY DSD) caused by impaired gonadal development includes gonadal agenesis, gonadal dysgenesis, testicular regression, and ovotesticular DSD. Absence of testicular determination results in gonadal agenesis/complete dysgenesis characterized by female external and internal genitalia but fail to develop secondary sexual characteristics, whereas incomplete testicular determination cause partial dysgenesis which show ambiguous genitalia. Testicular regression is part of the clinical spectrum of partial 46,XY gonadal dysgenesis. These forms of 46,XY DSD have been associated with mutations in several genes, and chromosome mosaicism is now recognized as one of the cause.""",Reproductive system disease,,"""SRY (inactivating mutation) [HSA:6736] [KO:K09266], DHH (inactivating mutation) [HSA:50846] [KO:K11990], SF1 (inactivating mutation) [HSA:2516] [KO:K08560], WT1 [HSA:7490] [KO:K09234], WNT4 (duplication) [HSA:54361] [KO:K00408], ATRX (inactivating mutation) [HSA:546] [KO:K10779], DAX1 (duplication) [HSA:190] [KO:K08562], SOX9 (inactivating mutation) [HSA:6662] [KO:K18435], DMRT1 (deletion) [HSA:1761] [KO:K19488], CBX2 (inactivating mutation) [HSA:84733] [KO:K11451], TSPYL1 (inactivating mutatio",,,,,,,"""ICD-10: Q97.3 Q87.8 D56.0, MeSH: D006061 D006059, OMIM: 400044 233420 607080 612965 136680 194080 194072 301040 300018 114290 154230 613080 608800 614279 616067 613762"""
C0018081,H00315,MeSH,D006069,"""Gonococcal infections, Gonorrhea""",Gonorrhea is an ancient disease caused by the strict human pathogen Neisseria gonorrhoeae. It remains a major public health concern and multidrug-resistant forms of gonorrhea have been discovered.,Infectious disease,,,  Neisseria gonorrhoeae [GN:ngo ngk],,,,"""Azithromycin [DG:DG00606], Ceftriaxone [DG:DG00573], Cephalosporins [ATC:J01DB J01DC J01DD J01DE], Cefixime [DG:DG00577]""",,"""ICD-10: A54, MeSH: D006069, MedlinePlus: 007267"""
C0018099,H01532,MeSH,D006073,Gout,"""Gout is a kind of arthritis associated with hyperuricemia. It is triggered due to precipitation and deposition of inflammatory monosodium urate crystals in synovial and other tissues, accompanied by severe pain. The most common symptom include swelling, tenderness, warmth and redness.  Mostly, the joint at the base of the big toe is affected, gout progresses with more frequent attacks that involve multiple joints. Joint pain that used to resolve in a week to 10 days could become a milder, but constant pain. Eventually, untreated gout can cause other comorbidities such as high blood pressure, diabetes, chronic kidney disease and cardiovascular disease. The incidence of the disease is more common in 40s men than women, but gout in women after menopause appears increased risk. Recently, the onset in 20s increases. The development of gout is not only associated with sex, age, race and genetics, but also diet and lifestyle are contributed to increasing prevalence of the disease. Epidemiology studies reported that the excessive intake of alcohol and purine rich food, which excessively produce uric acid, leads to accumulation of uric acid.""",Metabolic disease; Skeletal dysplasia,,,,"""Alcohol, Purine rich food, Fructose/Sugar-sweetened beverages""",,,"""Indomethacin [DG:DG00241] Celecoxib [DR:D00567] (NSAIDs), Colchicine [DR:D00570], Allopurinol [DG:DG00779] Febuxostat [DR:D01206] (Xanthine oxidase inhibitor), Benzbromarone [DR:D01056] Probenecid [DR:D00475] (Uricosuric drugs) , Pegloticase [DR:D09316] (Uricase), Prednisone [DG:DG00094] (Glucocorticoid), Sulindac [DR:D00120] Naproxen [DG:DG00455]""",,"""ICD-10: M10, MeSH: D006073"""
C0018133,H00084,MeSH,D006086,Graft-versus-host disease,"""Graft-versus-host disease (GVHD) is a lethal complication of allogeneic hematopoietic stem cell transplantation (HSCT) where immunocompetent donor T cells attack the genetically disparate host cells. GVHD pathophysiology can be summerized in a three-step process. Step 1 involves the development of an inflammatory milieu resulting from damage in the host tissues induced by the preparative chemotherapy or radiotherapy regimen. Damaged tissues secrete inflammatory cytokines, including interleukin 1 (IL-1), and tumor necrosis factor (TNF-alpha ). During step 2, antigen-presenting cells (APCs) trigger the activation of donor-derived T cells, which induce further T-cell expansion, induce cytotoxic T lymphocytes (CTL) and natural killer (NK) cells responses and prime additional mononuclear phagocytes to produce TNF-alpha and IL-1. Also, nitric oxide (NO) is produced by activated macrophages, and it may contribute to the tissue damage seen during step 3. During step 3, the effector phase, activated CTL and NK cells mediate cytotoxicity against target host cells through Fas-Fas ligand interactions and perforin-granzyme B.""",Immune system disease,,"""TNF-alpha (polymorphism) [HSA:7124] [KO:K03156], IL-10 (polymorphism) [HSA:3586] [KO:K05443], IL1A (polymorphism) [HSA:3552] [KO:K04383], IL-1-RA (polymorphism) [HSA:3557] [KO:K05481], IFN-gamma (polymorphism) [HSA:3458] [KO:K04687], IL-6 (polymorphism) [HSA:3569] [KO:K05405], TGF-beta (polymorphism) [HSA:7040 7042 7043] [KO:K13375 K13376 K13377], IL13 (polymorphism) [HSA:3596] [KO:K05435], TNFRSF1B (polymorphism) [HSA:7133] [KO:K05141], IL2 (polymorphism) [HSA:3558] [KO:K05429]""",,"""Donor-recipient gender mismatch, Histocompatibility antigen mismatch (major and minor), Host exposu",,"""TNF-alpha [HSA:7124], TNF receptor""","""Cyclosporine A (CSA) [DR:D00184], Tacrolimus (FK506) [DG:DG00439], Methotrexate [DG:DG00681], Corticosteroid, Mycophenolate mofetil (MMF) [DR:D00752 D05094], Antithymocyte globulin (ATG), Alemtuzumab [DR:D02802], Methylprednisolone [DG:DG00410], Daclizumab [DR:D03639], Infliximab [DR:D02598 ], Prednison [DG:DG00094], Azathioprine [DG:DG00743]""",,"""ICD-10: T86, MeSH: D006086"""
C0018179,H00954,MeSH,D003317,"""Macular corneal dystrophy (MCD), Corneal dystrophy Groenouw type II, Fehr corneal dystrophy""","""Macular corneal dystrophy (MCD), inherited in an autosomal recessive fashion, is the least common but severe form of stromal dystrophy characterized by superficial gray-white corneal opacities that progressively increase to involve the entire corneal stroma from limbus to limbus. Patients experience progressive decreased vision and irritation as the diseases worsens, and will have vision severely affected by the third to fourth decade of life. It has been shown that a specific sulfation step in the production of keratan sulfate, the major glycosaminoglycan of the corneal stroma, is impaired in MCD. This results in the accumulation of glycosaminoglycans that form the abnormal deposits. Mutations in the CHST6 gene, which encodes an enzyme that catalyzes the sulfation of keratan sulfate, are responsible for most cases of MCD.""",Eye disease,,CHST6 [HSA:4166] [KO:K09671],,,,,,,"""ICD-10: H18.5, MeSH: D003317, OMIM: 217800"""
C0018190,H01415,MeSH,D006100,"""Donovanosis, Granuloma inguinale""","""Donovanosis (granuloma inguinale) is an acquired chronic, slowly progressive, mildly contagious disease caused by Klebsiella granulomatis that was called Calymmatobacterium granulomatis. This sexually transmitted disease is characterized by granulomatous ulceration of the genitalia and neighboring sites, with little or no tendency to spontaneous healing.""",Infectious disease,,,  Klebsiella granulomatis,,,,,,"""ICD-10: A58, MeSH: D006100, MedlinePlus: 000636"""
C0018203,H00098,MeSH,D006105,"""Chronic granulomatous disease, including the following four diseases: X-linked CGD (gp91 phox CGD), p22phox deficiency (p22phox CGD), p47phox deficiency (p47phox CGD), p67phox deficiency (p67phox CGD)""","""Chronic granulomatous disease (CGD) is characterized by impaired activation of the NADPH oxidase activity in phagocytic cells, resulting in the inability of these cells to generate toxic oxygen radicals and hence to kill catalase-positive bacteria. The NADPH oxidase is composed of four polypeptide subunits and mutations in the corresponding genes (gp91phox, p22phox, p47phox, and p67phox) are responsible for the four different genetic subgroups of CGD. Most cases (65%) involve mutations in gp91phox and are inherited in an X-linked recessive manner. The remainder are autosomal recessive (AR).""",Primary immunodeficiency,,"""CYBB [HSA:1536] [KO:K21421], CYBA [HSA:1535] [KO:K08009], NCF1 [HSA:653361] [KO:K08011], NCF2 [HSA:4688] [KO:K08010]""",  Granulobacter bethesdensis [GN:gbe],,,,"""Trimethoprim-sulfamethoxazole (TMP-SMZ) [DG:DG00595], Itraconazole [DR:D00350], Linezolid [DR:D00947], Voriconazole [DR:D00578], Posaconazole [DR:D02555]""","""X-linked CGD (gp91 phox CGD), p22phox deficiency (p22phox CGD), p47phox deficiency (p47phox CGD), p67phox deficiency (p67phox CGD)""","""ICD-10: D71, MeSH: D006105, OMIM: 306400 233690 233700 233710"""
C0018213,H00082,MeSH,D006111,Graves' disease,"""Grave's disease is a common form of chronic autoimmune thyroid disease (AITD), and is characterized by overstimulation of the thyroid gland with agonistic anti-thyrotropin (TSH) receptor autoantibodies. This overstimulation leads to follicular hypertrophy and hyperplasia, causing thyroid enlargement, as well as increases in thyroid hormone production and the fraction of triiodothyronine (T3) relative to thyroxine (T4) in thyroid secretion. Thyroid autoimmune diseases are regarded as polygenic disorders resulting from the combination of a genetic predisposition in conjunction with an environmental trigger. Two main approaches have been employed to locate susceptibility loci for AITD, namely case control candidate gene studies and genome-wide linkage screens. Case control candidate gene studies have been employed to investigate numerous genes for association with AITD, but to date, only the human leucocyte region (HLA) on chromosome 6p21 and the cytotoxic T lymphocyte associated 4 (CTLA-4) gene on chromosome 2q33 have been consistently shown to be associated with disease.""",Immune system disease,,"""HLA-DRB1 (polymorphism) [HSA:3123] [KO:K06752], HLA-DQA1 (polymorphism) [HSA:3117] [KO:K06752], HLA-DQB1 (polymorphism) [HSA:3119] [KO:K06752], CTLA-4 (polymorphism) [HSA:1493] [KO:K06538]""",,"""Iodine [CPD:C01382], IFN-alpha [DR:D00745 D02745 D03305 D04552 D04553], Infectious organisms, Smoki",,"""TSH (thyrotropin) [HSA:1081 7252], Thyroxine (T4) [CPD:C01829], Triiodothyronine (T3) [CPD:C02465], Anti-TSHR""","""Propranolol [DG:DG00305], Methimazole [DR:D00401 ], Propylthiouracil [DR:D00562], Iopanoic acid (Telepaque) [DR:D01014], Ipodate sodium (Bilivist, Oragrafin) [DR:D01015], Radioactive iodine (131I)""","""Autoantigen: TSH-R [HSA:7253]""","""ICD-10: E05.0, MeSH: D006111"""
C0018245,H00954,MeSH,D003317,"""Macular corneal dystrophy (MCD), Corneal dystrophy Groenouw type II, Fehr corneal dystrophy""","""Macular corneal dystrophy (MCD), inherited in an autosomal recessive fashion, is the least common but severe form of stromal dystrophy characterized by superficial gray-white corneal opacities that progressively increase to involve the entire corneal stroma from limbus to limbus. Patients experience progressive decreased vision and irritation as the diseases worsens, and will have vision severely affected by the third to fourth decade of life. It has been shown that a specific sulfation step in the production of keratan sulfate, the major glycosaminoglycan of the corneal stroma, is impaired in MCD. This results in the accumulation of glycosaminoglycans that form the abnormal deposits. Mutations in the CHST6 gene, which encodes an enzyme that catalyzes the sulfation of keratan sulfate, are responsible for most cases of MCD.""",Eye disease,,CHST6 [HSA:4166] [KO:K09671],,,,,,,"""ICD-10: H18.5, MeSH: D003317, OMIM: 217800"""
C0018378,H01842,ICD-10,G61.0,Bickerstaff brainstem encephalitis,"""Bickerstaff's brainstem encephalitis (BBE) is a rare immune disorder in children, characterized by progressive ophthalmoplegia, ataxia, and disturbance of consciousness. Although the etiology of BBE is unknown, it has been linked to various antecedent infections. BBE is associated with the anti-GQ1b IgG antibody, which is present in 66% of a population of patients who had BBE. An autoimmune mechanism produced by microbial infection may trigger its pathogenesis. IVIG is effective in immune-mediated disorders such as Fisher syndrome (FS) and Guillain-Barre syndrome (GBS). IVIG is also effective in treatment of BBE, which is similar to the clinical and immunologic features of FS or GBS. Combined therapy of IVIG and high-dose methylprednisolone is a more efficacious therapy than IVIG alone. Most patients make a clinical recovery over six months.""",Nervous system disease,,,,"""Campylobacter jejuni, Cytomegalovirus, Varicellar zoster virus, Epstein Barr virus, Mycoplasma pneu",,Anti-GQ1b antibody,"""Intravenous immunoglobulin, Methylprednisolone [DR:D00407]""",See also H01436 Guillain-Barre syndrome and H01689 Fisher syndrome.,"ICD-10: G61.0"
C0018378,H01436,MeSH,D020275,Guillain-Barre syndrome,"""Guillain-Barre syndrome (GBS) is an acute polyneuropathy characterized by progressive motor weakness of limbs with areflexia. This disease is usually triggered by an infection, which provokes immune-mediated nerve dysfunction. GBS can be subdivided into the classic acute demyelinating type, acute motor axonal neuropathy (AMAN), and acute motor and sensory axonal neuropathy (AMSAN). Classic acute demyelinating type is designated acute inflammatory demyelinating polyneuropathy (AIDP), representing the great majority of cases in Europe and North America. A mutation in the PMP22 gene was identified in a family with AIDP. AMAN is the most prevalent form in China. The incidence of AMSAN is very low. The axonal forms of GBS are caused by certain autoimmune mechanisms, due to a molecular mimicry between antecedent bacterial infection (particularly Campylobacter jejuni) and human peripheral nerve gangliosides.""",Nervous system disease,,PMP22 [HSA:5376] [KO:K19289],,,,,"""Plasma exchange, Intravenous immunoglobulin, Prednison [DG:DG00094]""",,"""ICD-10: G61.0, MeSH: D020275, OMIM: 139393"""
C0018425,H00189,MeSH,D015799,"""Ornithinaemia, Gyrate Atrophy""",Ornithinemia due to deficiency of ornithine ketoacid aminotransferase induces hyperornithinemia and gyrate atrophy.,Inherited metabolic disease; Eye disease,,OAT; ornithine aminotransferase [HSA:4942] [KO:K00819],,,,,,,"""ICD-10: E72.4, MeSH: D015799, OMIM: 258870"""
C0018482,H00304,MeSH,D006192,Haemophilus influenzae infection,"""Haemophilus influenzae type b (Hib) infections are a major cause of severe infections in children between 2 months and 5 years of age worldwide. It affects approximately 25000 patients each year. Severity of the symptoms of Hib infection depends on the patient's age, and infants between 4 months and 1 year of age are at highest risk for meningitis. Invasive disease due to Hib may produce various clinical syndromes including meningitis, arthritis, pneumonia, cellulitis, osteomyelitis, and epiglottitis. Mucosal infections, such as bronchitis, sinusitis and conjunctivitis, and otitis media, can also be caused by Hib, but they are considered to be noninvasive disease.""",Infectious disease,,,  Haemophilus influenzae [GN:hin hit hip hiq hiu hik],,,,"""Third-generation cephalosporins [DG:DG00570 DG00573], Comination of ampicillin and chloramphenicol [DG:DG00517 DG00399], Rifampicin (prophylaxis) [DG:DG00639], Hib conjugate vaccine [DR:D09189]""",American Indians and Alaskan Eskimos are at increased risk specifically for meningitis caused by Hib.,"""ICD-10: A41.3 A49.2 G00.0 J14 J20.1, MeSH: D006192"""
C0018482,H01330,MeSH,D006192,Brazilian purpuric fever (BPF),"""Brazilian purpuric fever (BPF), which is caused by Haemophilus influenzae biogroup aegyptius (H. aegyptius), is a recently described pediatric disease that is often fatal. The vascular destruction is a distinctive trait, and little is known about the mechanism(s) of the overwhelming purpura fulminans that causes the high mortality. This disease is preceded by purulent conjunctivitis which resolves but is followed 10-14 days later by acute onset of fever associated with systemic toxicity, petechiae, purpura, and vascular collapse.""",Infectious disease,,,  Haemophilus influenzae biogroup aegyptius [GN:hif],,,,,,"""ICD-10: A48.4, MeSH: D006192"""
C0018523,H00833,MeSH,D006211,"""Neurodegeneration with brain iron accumulation (NBIA), Hallervorden-Spatz syndrome, Pantothenate kinase-associated neurodegeneration (PKAN), Neuroferritinopathy, Aceruloplasminemia""","""Neurodegeneration with brain iron accumulation (NBIA) is a group of progressive extrapyramidal and cognitive disorders characterized by iron accumulation predominantly in the globus pallidus, as well as extensive axonal spheroids in various regions of the brain. The most frequent genetic form is the pantothenate kinase-2 associated neurodegeneration (PKAN) with a mutation in the pantothenate kinase 2 (PANK2) gene. Other forms are associated with a mutation in phosphoslipase A2 (PLA2G6), FTL (neuroferritinopathy), CP (aceruloplasminemia), FA2H (Fatty acid 2-hydroxylase) and ATP13A2 (ATPase type 13A2) genes. A significant proportion of children with an NBIA phenotype have no genetic diagnosis and there are additional as yet undiscovered genes that account for a number of these cases.""",Neurodegenerative disease,,"""(NBIA1) PANK2 [HSA:80025] [KO:K09680], (NBIA2A, NBIA2B) PLA2G6 [HSA:8398] [KO:K16343], (NBIA3) FTL [HSA:2512] [KO:K13625], (NBIA4) MPAN [HSA:83636], (NBIA5) WDR45 [HSA:11152], (NBIA6) COASY [HSA:80347] [KO:K02318], (Aceruloplasminemia) CP [HSA:1356] [KO:K13624], (SPG35) FA2H [HSA:79152] [KO:K19703], ATP13A2 [HSA:23400] [KO:K13526]""",,,,The eye-of-the-tiger sign at MR imaging,,,"""ICD-10: G23.0, MeSH: D006211 D019150 C565699 C548080, OMIM: 234200 256600 610217 614298 300894 615643 606159 604290 612319"""
C0018553,H00539,MeSH,D006223,"""PTEN hamartoma tumor syndrome (PHTS), including: Cowden syndrome [DS:H01222], Bannayan-Riley-Ruvalcaba syndrome, Proteus syndrome""","""PTEN hamartoma tumor syndrome (PHTS) is a spectrum of disorders associated with the formation of hamartomas caused by mutations of the tumor suppressor PTEN. The hamartomas tend to be both benign and malignant tumors, especially in Cowden syndrome.""",Developmental disorder; Cancer,,PTEN [HSA:5728] [KO:K01110],,,,,,,"""ICD-10: Q85.8 Q87.8 Q87.3, MeSH: D016715 C566636 C567337, OMIM: 158350 153480 176920"""
C0018553,H01222,MeSH,D006223,Cowden syndrome,"""Cowden syndrome (CS) is a autosomal dominant inherited cancer syndrome characterized by benign and malignant breast, thyroid, and endometrial neoplasias in addition to cutaneous findings and macrocephaly. Germ line PTEN mutations have been found in 85% of those with CS. A large heterogeneous group of individuals with Cowden-like syndrome, who have various combinations of Cowden syndrome features but who do not meet Cowden syndrome diagnostic criteria, have PTEN mutations less than 10% of the time. In the absence of germline PTEN mutations, approximately 10% of individuals with Cowden syndrome or Cowden-like syndrome harbor germline succinate dehydrogenase variants SDHB and SDHD.""",Developmental disorder,,"""(CWS1) PTEN [HSA:5728] [KO:K01110], (CWS2) SDHB [HSA:6390] [KO:K00235], (CWS3) SDHD [HSA:6392] [KO:K00237], (CWS4) KLLN [HSA:100144748], (CWS5) PIK3CA [HSA:5290] [KO:K00922], (CWS6) AKT1 [HSA:207] [KO:K04456], (CWS7) SEC23B""",,,,,,,"""ICD-10: Q85.9, MeSH: D006223, OMIM: 158350 612359 615106 615107 615108 615109"""
C0018572,H01326,MeSH,D006232,"""Hand, foot and mouth disease""","""HFMD is generally a benign febrile exanthematous childhood disease but the brain stem can also be affected, causing meningitis and encephalitis. The disease may be complicated by myocarditis.""",Infectious disease,,,"""  Human enterovirus 71, Enterovirus A [GN:T40103]""",,,"""5' untranslated or VP1 region of the viral genome (PCR detection), IgM antibodies (ELISA test)""",Intravenous immunoglobulin,,"""ICD-10: B08.4, MeSH: D006232, MedlinePlus: 000965"""
C0018609,H00843,MeSH,D006250,Hartnup disorder,"""Hartnup disorder is an autosomal recessive defect of neutral amino acid transport in kidney and intestine accompanied by the symptoms including pellagra-like photo-sensitive skin rash, cerebellar ataxia, and renal aminoaciduria. It is caused by hereditary abnormalities in the neutral amino acid transporter B0AT1 (SLC6A19) in apical membrane.""",Inherited metabolic disease,,SLC6A19 [HSA:340024] [KO:K05334],,,,,,,"""ICD-10: E72.0, MeSH: D006250, OMIM: 234500"""
C0018775,H01705,MeSH,D006312,Bilateral sudden sensorineural hearing loss,"""Bilateral sudden sensorineural hearing loss (SNHL) represents a rare disease entity, constituting less than 5 % of all sudden SNHL cases. Unlike unilateral disease, bilateral sudden SNHL appears to be mostly related to serious systemic pathology, and is associated with a more severe degree of hearing loss, poorer prognosis following treatment, and more significant impairment in morbidity and overall quality of life.""",Nervous system disease,,"""ACTG1 [HSA:71] [KO:K05692], CDH23 [HSA:64072] [KO:K06813], COCH [HSA:1690], KCNQ4 [HSA:9132] [KO:K04929], TECTA [HSA:7007] [KO:K18273], TMPRSS3 [HSA:64699] [KO:K09634], WFS1 [HSA:7466] [KO:K14020]""",,,,,,"""See also H01704 Sudden sensorineural hearing loss, H00604 Deafness, autosomal dominant, and H00605  Deafness, autosomal recessive.""","""ICD-10: H90.3 H91.2, MeSH: D006312, OMIM: 604717 601386 601369 600101 601543 603629 601072 600965"""
C0018801,H01631,MeSH,D006333,Acute heart failure,"""Acute heart failure (AHF) can be defined as a heterogeneous syndrome of signs and symptoms of new-onset or gradual/rapidly worsening heart failure (HF), requiring urgent therapy. Intrinsic cardiac abnormalities and comorbid conditions, including lung and renal disease, and sleep-disordered breathing, can contribute to the development of AHF. Factors triggering AHF may include ischemia, hypertension, arrhythmias, noncardiac comorbidities, and administered drugs, etc. Because of the poor clinical outcome and the relevant associated morbidity and mortality, it remains a major public health issue with a substantial socioeconomic burden.""",Cardiovascular diseases,,,,,,"""B-type natriuretic peptide (BNP) [HSA:4879] [KO:K12335], N-terminal pro B-type natriuretic peptide (NT-proBNP), Soluble ST2 (sST2), Troponin I [HSA:7137] [KO:K12044], Troponin T [HSA:7139] [KO:K12045], Galectin 3 [HSA:3958] [KO:K06831], Mid-regional proadrenomedullin (MR-proADM), Copeptin [HSA:551] [KO:K05242]""","""Hydrochlorothiazide [DR:D00340], Metolazone [DR:D00431], Chlorthalidone [DR:D00272], Nitroglycerin [DR:D00515]""",,"""ICD-10: I11 I13 I43 I50 I51 P29, MeSH: D006333"""
C0018802,H01631,MeSH,D006333,Acute heart failure,"""Acute heart failure (AHF) can be defined as a heterogeneous syndrome of signs and symptoms of new-onset or gradual/rapidly worsening heart failure (HF), requiring urgent therapy. Intrinsic cardiac abnormalities and comorbid conditions, including lung and renal disease, and sleep-disordered breathing, can contribute to the development of AHF. Factors triggering AHF may include ischemia, hypertension, arrhythmias, noncardiac comorbidities, and administered drugs, etc. Because of the poor clinical outcome and the relevant associated morbidity and mortality, it remains a major public health issue with a substantial socioeconomic burden.""",Cardiovascular diseases,,,,,,"""B-type natriuretic peptide (BNP) [HSA:4879] [KO:K12335], N-terminal pro B-type natriuretic peptide (NT-proBNP), Soluble ST2 (sST2), Troponin I [HSA:7137] [KO:K12044], Troponin T [HSA:7139] [KO:K12045], Galectin 3 [HSA:3958] [KO:K06831], Mid-regional proadrenomedullin (MR-proADM), Copeptin [HSA:551] [KO:K05242]""","""Hydrochlorothiazide [DR:D00340], Metolazone [DR:D00431], Chlorthalidone [DR:D00272], Nitroglycerin [DR:D00515]""",,"""ICD-10: I11 I13 I43 I50 I51 P29, MeSH: D006333"""
C0018817,H00546,MeSH,D006344,Atrial septal defect,Atrial septal defect is an abnormal hole in the interatrial septum between right and left atria. Atrial septal defect is one of the most frequent types of malformations in congenital heart defect that arise from perturbations of cardiac development during embryogenesis. Multiple transcriptions factors that regulate cardiac development as well as various chemicals and maternal diseases have been implicated in the disease.,Developmental disorder; Cardiovascular disease,,"""NKX2.5 [HSA:1482] [KO:K09345], GATA4 [HSA:2626] [KO:K09183], TBX20 [HSA:57057] [KO:K10185], ACTC1 [HSA:70] [KO:K12314], MYH6 [HSA:4624] [KO:K17751], TLL1 [HSA:7092] [KO:K09608], CITED2 [HSA:10370] [KO:K21361], GATA6 [HSA:2627] [KO:K17897]""",,"""Organic solvents, Anticonvulsants, Ibuprofen [CPD:C01588], Sulfasalazine [CPD:C07316], Thalidomide ",,,,,"""ICD-10: Q21.1, MeSH: D006344, OMIM: 108800 108900 607941 611363 612794 613087 614433 614475"""
C0018824,H00554,MeSH,D006349,"""Bicuspid aortic valve, Aortic valve disease""","""Bicuspid aortic valve is the most common congenital heart defect with strong male predominance. It may arise in isolation or in association with other congenital heart lesions. The bicuspid aortic valve is typically made of two unequal-sized leaflets, whereas the normal valve is known to have three leaflets.""",Developmental disorder; Cardiovascular disease,,"""NOTCH1 [HSA:4851] [KO:K02599], SMAD6 [HSA:4091] [KO:K04677]""",,,,,,,"""ICD-10: Q23.1, MeSH: D006349, OMIM: 109730 614823"""
C0018916,H01482,MeSH,D006391,Infantile hemangioma,"""Infantile hemangiomas (IH) are neoplastic proliferations of vascular endothelial cells (ECs), characterized by a period of growth after birth, and eventual spontaneous involution. Forty percent of the lesions are associated with complications such as ulceration, bleeding, infection, pain, cardiac failure, airway compromise or eye impairment. Pathogenesis of IH is still shrouded in mystery even though various theories have been postulated to explain its origin. Recent studies provide strong evidence for the conclusion that the VEGF receptor 2 (VEGFR2) and Tumor Endothelial Marker 8  (TEM8) mutations represent risk factor mutations for hemangioma formation. In the proliferating phase, constitutive VEGFR2 signaling in ECs from hemangioma lesions affects downstream processes, including EC proliferation and migration, providing a mechanistic explanation for the rapid endothelial proliferation seen in hemangioma.""",Vascular disease,,"""TEM8 [HSA:84168] [KO:K20909], VEGFR2 [HSA:3791] [KO:K05098]""",,,,GLUT1 [HSA:6513] [KO:K07299],"""Systemic corticosteroids, Vincristine [DG:DG00690], Interferon-alpha [DG:DG01750], Bleomycin [DG:DG00705], Cyclophosphamide [DG:DG00675], Propranolol [DG:DG00305]""",ICD-O-3.1: 9131/0 Infantile hemangioma,"""ICD-10: D18.00, MeSH: D006391, OMIM: 602089"""
C0018916,H01875,MeSH,D006391,Infantile hepatic hemangioma,"""Infantile hepatic hemangioma (IHH), although rare, is the most common benign hepatic vascular tumor in the first year of age. They are sub-classified in focal, multiple and diffuse lesions, based on degree of unaffected liver parenchyma. Most lesions are clinically silent and self-limiting, whereas others can become symptomatic, manifesting as cardiac failure, fulminant hepatic failure and abdominal compartment syndrome. The term IHH is preferred to """"hemangioendothelioma"""" because the clinical and biologic behavior is similar to infantile hemangiomas (H01482) that affect the skin and other parts of the body.""",Vascular diseases,,,,,,,"""Systemic corticosteroids, Vincristine [DR:D08679], Interferon-alpha [DR:D03305], Cyclophosphamide [DR:D07760], Propranolol [DR:D08443]""",ICD-O-3.1: 9131/0 Infantile hemangioma,"""ICD-10: D18.00, MeSH: D006391"""
