H number,Name,Description,Category,Gene,Pathogen,Env factor,Carcinogen,Marker,Drug,Comment,Other DBs,Reference,DB REF,Code_1,Code_2,Code_3,Code_4,Code_5,Code_6,Code_7,Code_8,Code_9,Code_10,Code_11,Code_12,Code_13,Code_14,Code_15,Code_16,Code_17,Code_18,Code_19,Code_20,Code_21,Code_22,Code_23,Code_24,Code_25,Code_26,Code_27,Code_28,Code_29,Code_30
H00737,Peeling skin syndrome,"Peeling skin syndrome (PSS) is a group of rare autosomal recessive disorders characterized by superficial detachment of the epidermal corneal layers. PSS can be divided into two main types, acral PSS (APSS) and generalized PSS. APSS involves the palmar, plantar and dorsal surfaces of hands and feet and is caused by mutations in the transglutaminase 5 gene (TGM5). Generalized PSS can be further divided into the non-inflammatory (type A) and the inflammatory (type B) forms. Recently, it was found that mutations in the corneodesmosin gene (CDSN) underlie PSS type B.",Skin and connective tissue disease,"CDSN [HSA:1041]
TGM5 [HSA:9333] [KO:K05622]
CHST8 [HSA:64377] [KO:K09672]
CSTA [HSA:1475] [KO:K13907]
SERPINB8 [HSA:5271] [KO:K13965]",,,,,,,"ICD-10: Q80.8
MeSH: C564818 C536316
OMIM: 270300 609796 616265 607936 617115","PMID:16935789 (description, gene)
  AUTHORS   Oji V, Traupe H
  TITLE     Ichthyoses: differential diagnosis and molecular genetics.
  JOURNAL   Eur J Dermatol 16:349-59 (2006)

PMID:22066523 (description, gene)
  AUTHORS   Pavlovic S, Krunic AL, Bulj TK, Medenica MM, Fong K, Arita K, McGrath JA
  TITLE     Acral peeling skin syndrome: a clinically and genetically heterogeneous disorder.
  JOURNAL   Pediatr Dermatol 29:258-63 (2012)
DOI:10.1111/j.1525-1470.2011.01563.x

PMID:11100033 (description)
  AUTHORS   Hashimoto K, Hamzavi I, Tanaka K, Shwayder T
  TITLE     Acral peeling skin syndrome.
  JOURNAL   J Am Acad Dermatol 43:1112-9 (2000)
DOI:10.1067/mjd.2000.103645

PMID:21191406 (gene)
  AUTHORS   Israeli S, Zamir H, Sarig O, Bergman R, Sprecher E
  TITLE     Inflammatory peeling skin syndrome caused by a mutation in CDSN encoding corneodesmosin.
  JOURNAL   J Invest Dermatol 131:779-81 (2011)
DOI:10.1038/jid.2010.363

PMID:22289416 (gene)
  AUTHORS   Cabral RM, Kurban M, Wajid M, Shimomura Y, Petukhova L, Christiano AM
  TITLE     Whole-exome sequencing in a single proband reveals a mutation in the CHST8 gene in autosomal recessive peeling skin syndrome.
  JOURNAL   Genomics 99:202-8 (2012)
DOI:10.1016/j.ygeno.2012.01.005

PMID:23534700 (gene)
  AUTHORS   Krunic AL, Stone KL, Simpson MA, McGrath JA
  TITLE     Acral peeling skin syndrome resulting from a homozygous nonsense mutation in the CSTA gene encoding cystatin A.
  JOURNAL   Pediatr Dermatol 30:e87-8 (2013)
DOI:10.1111/pde.12092

PMID:27476651 (gene)
  AUTHORS   Pigors M, Sarig O, Heinz L, Plagnol V, Fischer J, Mohamad J, Malchin N, Rajpopat S, Kharfi M, Lestringant GG, Sprecher E, Kelsell DP, Blaydon DC
  TITLE     Loss-of-Function Mutations in SERPINB8 Linked to Exfoliative Ichthyosis with Impaired Mechanical Stability of Intercellular Adhesions.
  JOURNAL   Am J Hum Genet 99:430-6 (2016)
DOI:10.1016/j.ajhg.2016.06.004",MeSH,C564818,C536316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00483,"Brachydactyly type C, including:
Angel shaped phalangoepiphyseal dysplasia (ASPED)",Brachydactyly represents hereditary limb malformation characterised by apparent shortening of digits. Type C characterized by shortening of multiple phalanges and hyperphalangy. Digit 4 is relatively normal in brachydactyly type C. Transformed middle phalanges with angel-like shape have been observed.,Developmental disorder; Skeletal dysplasia,GDF5 [HSA:8200] [KO:K04664],,,,,,,"MeSH: C537093 C536361
OMIM: 113100 105835","PMID:19790289 (description, gene)
  AUTHORS   Mundlos S
  TITLE     The brachydactylies: a molecular disease family.
  JOURNAL   Clin Genet 76:123-36 (2009)
DOI:10.1111/j.1399-0004.2009.01238.x

PMID:18554391 (description, gene)
  AUTHORS   Temtamy SA, Aglan MS
  TITLE     Brachydactyly.
  JOURNAL   Orphanet J Rare Dis 3:15 (2008)
DOI:10.1186/1750-1172-3-15

PMID:15173244 (description)
  AUTHORS   Holder-Espinasse M, Escande F, Mayrargue E, Dieux-Coeslier A, Fron D, Doual-Bisser A, Boute-Benejean O, Robert Y, Porchet N, Manouvrier-Hanu S
  TITLE     Angel shaped phalangeal dysplasia, hip dysplasia, and positional teeth abnormalities are part of the brachydactyly C spectrum associated with CDMP-1 mutations.
  JOURNAL   J Med Genet 41:e78 (2004)
DOI:10.1136/jmg.2003.013904

PMID:15565340 (description)
  AUTHORS   Castriota-Scanderbeg A, Garaci FG, Beluffi G
  TITLE     Angel-shaped phalanges in brachydactyly C: a case report, and speculation on pathogenesis.
  JOURNAL   Pediatr Radiol 35:535-8 (2005)
DOI:10.1007/s00247-004-1362-x

PMID:12580536 (description)
  AUTHORS   Warashina H, Sakano S, Kitamura S, Yamauchi K, Kito H, Hasegawa Y
  TITLE     Total hip arthroplasty for a patient with angel-shaped phalango-epiphyseal dysplasia (ASPED). A case report.
  JOURNAL   Nagoya J Med Sci 65:103-7 (2002)

PMID:8267010 (description)
  AUTHORS   Giedion A, Prader A, Fliegel C, Krasikov N, Langer L, Poznanski A
  TITLE     Angel-shaped phalango-epiphyseal dysplasia (ASPED): identification of a new genetic bone marker.
  JOURNAL   Am J Med Genet 47:765-71 (1993)
DOI:10.1002/ajmg.1320470534",MeSH,C537093,C536361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01209,"Deafness, X-linked","Hereditary deafness is divided into syndromic forms (in which hearing loss is associated with a variety of other anomalies) and non-syndromic forms. Non-syndromic forms are responsible for 70% of the cases of hereditary etiology and syndromic cases represent 30% of them. Among the forms of heritage, autosomal-recessive inheritance is the most frequent one (75%-85%), followed by autosomal-dominant inheritance (12-13%) and X-linked or mitochondrial, with 2-3% of the cases of non-syndromic hearing loss. X-linked deafness is clinically and genetically heterogeneous disorder. PRPS1 and POU3F4 have been identified as the genes to be implicated in X-linked non-syndromic hearing loss.",Nervous system disease; Nervous system disease,"PRPS1 [HSA:5631] [KO:K00948]
POU3F4 [HSA:5456] [KO:K09365]",,,,,,,"ICD-10: H91.9
MeSH: C564433 C536424 C564727 C564723 C564472
OMIM: 304500 304400","PMID:16446920 (description, gene)
  AUTHORS   Piatto VB, Nascimento EC, Alexandrino F, Oliveira CA, Lopes AC, Sartorato EL, Maniglia JV
  TITLE     Molecular genetics of non-syndromic deafness.
  JOURNAL   Braz J Otorhinolaryngol 71:216-23 (2005)
DOI:10.1590/S0034-72992005000200016

PMID:20021999 (description, gene)
  AUTHORS   Liu X, Han D, Li J, Han B, Ouyang X, Cheng J, Li X, Jin Z, Wang Y, Bitner-Glindzicz M, Kong X, Xu H, Kantardzhieva A, Eavey RD, Seidman CE, Seidman JG, Du LL, Chen ZY, Dai P, Teng M, Yan D, Yuan H
  TITLE     Loss-of-function mutations in the PRPS1 gene cause a type of nonsyndromic X-linked sensorineural deafness, DFN2.
  JOURNAL   Am J Hum Genet 86:65-71 (2010)
DOI:10.1016/j.ajhg.2009.11.015

PMID:19671658 (gene)
  AUTHORS   Lee HK, Song MH, Kang M, Lee JT, Kong KA, Choi SJ, Lee KY, Venselaar H, Vriend G, Lee WS, Park HJ, Kwon TK, Bok J, Kim UK
  TITLE     Clinical and molecular characterizations of novel POU3F4 mutations reveal that DFN3 is due to null function of POU3F4 protein.
  JOURNAL   Physiol Genomics 39:195-201 (2009)
DOI:10.1152/physiolgenomics.00100.2009",MeSH,C564433,C536424,C564727,C564723,C564472,,,,,,,,,,,,,,,,,,,,,,,,,
H00450,"Sclerosing bone dysplasias, including:
Endosteal hyperostosis;
Van Buchem disease type 2","These are a heterogeneous group of genetic disorders characterized by high bone density. These diseases are caused by missense mutations in the LRP5, a co-receptor for Wnt.",Skeletal dysplasia,LRP5 [HSA:4041] [KO:K03068],,,,,,,"ICD-10: Q78.8 Q78.2
MeSH: C536748 C536527
OMIM: 144750 607636","PMID:12579474
  AUTHORS   Van Wesenbeeck L, Cleiren E, Gram J, Beals RK, Benichou O, Scopelliti D, Key L, Renton T, Bartels C, Gong Y, Warman ML, De Vernejoul MC, Bollerslev J, Van Hul W
  TITLE     Six novel missense mutations in the LDL receptor-related protein 5 (LRP5) gene in different conditions with an increased bone density.
  JOURNAL   Am J Hum Genet 72:763-71 (2003)
DOI:10.1086/368277",MeSH,C536748,C536527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00611,"IRF6-related disorders, including:
Popliteal pterygium syndrome (PPS);
Van der Woude syndrome (VWS)","Popliteal pterygium syndrome (PPS) and Van der Woude syndrome (VWS) are autosomal dominant orofacial cleft syndromes caused by IRF6 mutations. Clinical manifestations of PPS include cleft lip and/or palate in association with webcausing popliteal connective tissue, syndactyly, and genital abnormalities. VWS shows milder phenotype in which individials with this disorder are born with a cleft lip and cleft palate.",Developmental disorder,IRF6 [HSA:3664] [KO:K10154],,,,,,Isolated orofacial clefts are described in H00516.,"ICD-10: Q38.0 Q68.2 Q87.2
MeSH: C562509 C536528
OMIM: 119500 119300","PMID:20803643 (description, gene)
  AUTHORS   Matsuzawa N, Kondo S, Shimozato K, Nagao T, Nakano M, Tsuda M, Hirano A, Niikawa N, Yoshiura K
  TITLE     Two missense mutations of the IRF6 gene in two Japanese families with popliteal pterygium syndrome.
  JOURNAL   Am J Med Genet A 152A:2262-7 (2010)
DOI:10.1002/ajmg.a.33338

PMID:20301581 (description, gene)
  AUTHORS   Durda KM, Schutte BC, Murray JC
  TITLE     IRF6-Related Disorders
  JOURNAL   GeneReviews (1993)",MeSH,C562509,C536528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01898,"PNPLA6-related disorders, including:
Boucher-Neuhauser syndrome;
Oliver-McFarlane syndrome;
Laurence-Moon syndrome;
Autosomal recessive spastic paraplegia 39","PNPLA6-related disorders have been implicated in a broad spectrum of neurodegenerative disorders. The phenotypic spectrum includes at least four clinical key features: ataxia, motor neuron disease (upper motor neuron disease with or without additional lower motor neuropathy), hypogonadism, and chorioretinal dystrophy. Although these clinical features appear to be frequent in PNPLA6 disease none of them is an obligate feature of the disease. The majority of the PNPLA6 mutations affect a phospholipid esterase domain in neuropathy target esterase (NTE), which has been shown to de-esterify phosphatidylcholine, a major component of biological membranes, into its constituent fatty acids and glycerophosphocholine. Other phenotypes caused by NTE dysfunction due to PNPLA6 mutations include anterior hypopituitarism, trichomegaly, alopecia, and facial dysmorphisms.",Nervous system disease,PNPLA6 [HSA:10908] [KO:K14676],,,,,,,"ICD-10: Q87.8 G11.8 G11.4
MeSH: C565850 C536554 D007849 C567433
OMIM: 245800 215470 275400 612020","PMID:24355708 (description, gene)
  AUTHORS   Synofzik M, Gonzalez MA, Lourenco CM, Coutelier M, Haack TB, Rebelo A, Hannequin D, Strom TM, Prokisch H, Kernstock C, Durr A, Schols L, Lima-Martinez MM, Farooq A, Schule R, Stevanin G, Marques W Jr, Zuchner S
  TITLE     PNPLA6 mutations cause Boucher-Neuhauser and Gordon Holmes syndromes as part of a broad neurodegenerative spectrum.
  JOURNAL   Brain 137:69-77 (2014)
DOI:10.1093/brain/awt326

PMID:27866050 (description)
  AUTHORS   Langdahl JH, Frederiksen AL, Nguyen N, Brusgaard K, Juhl CB
  TITLE     Boucher Neuhauser Syndrome - A rare cause of inherited hypogonadotropic hypogonadism. A case of two adult siblings with two novel mutations in PNPLA6.
  JOURNAL   Eur J Med Genet 60:105-109 (2017)
DOI:10.1016/j.ejmg.2016.11.003

PMID:25480986 (description, gene)
  AUTHORS   Hufnagel RB, Arno G, Hein ND, Hersheson J, Prasad M, Anderson Y, Krueger LA, Gregory LC, Stoetzel C, Jaworek TJ, Hull S, Li A, Plagnol V, Willen CM, Morgan TM, Prows CA, Hegde RS, Riazuddin S, Grabowski GA, Richardson RJ, Dieterich K, Huang T, Revesz T, Martinez-Barbera JP, Sisk RA, Jefferies C, Houlden H, Dattani MT, Fink JK, Dollfus H, Moore AT, Ahmed ZM
  TITLE     Neuropathy target esterase impairments cause Oliver-McFarlane and Laurence-Moon syndromes.
  JOURNAL   J Med Genet 52:85-94 (2015)
DOI:10.1136/jmedgenet-2014-102856",MeSH,C565850,C536554,D007849,C567433,,,,,,,,,,,,,,,,,,,,,,,,,,
H00609,"46,XY disorders of sex development (Other), including:
Persistent Mullerian duct syndrome;
Hypospadias;
Cryptorchidism","46,XY disorders of sex development (46,XY DSD) with other various causes includes persistent Mullerian duct syndrome, hypospadias, and cryptorchidism. During embryogenesis, regression of the Mullerian duct is induced by anti-Mullerian hormone (AMH) in normal 46,XY individuals. In perisitent Mullerian duct syndrome, mutations of the AMH and AMH receptor produce persistence of the uterus and Fallopian tubes in males. Hypospadias is a congenital malformation with ectopic opening of the urethral meatus. Compromised androgen effects can cause this malformation. Cryptorchidism, or undescended testes, is a condition controlled by AMH and insulin-like hormone 3.",Reproductive system disease,"(Mullerian) AMH [HSA:268] [KO:K04665]
(Mullerian) AMHR2 [HSA:269] [KO:K04672]
(Hypospadias) AR [HSA:367] [KO:K08557]
(Hypospadias) MAMLD1 [HSA:10046] [KO:K19512]
(Cryptorchidism) INSL3 [HSA:3640] [KO:K21999]
(Cryptorchidism) GREAT [HSA:122042] [KO:K04307]",,,,,,,"ICD-10: Q55.8 Q54.8
MeSH: D058490 C536665
OMIM: 261550 300633 300758 219050","PMID:18279784 (description, gene)
  AUTHORS   Hughes IA
  TITLE     Disorders of sex development: a new definition and classification.
  JOURNAL   Best Pract Res Clin Endocrinol Metab 22:119-34 (2008)
DOI:10.1016/j.beem.2007.11.001

PMID:18811725 (description, gene)
  AUTHORS   Mendonca BB, Domenice S, Arnhold IJ, Costa EM
  TITLE     46,XY disorders of sex development (DSD).
  JOURNAL   Clin Endocrinol (Oxf) 70:173-87 (2009)
DOI:10.1111/j.1365-2265.2008.03392.x

PMID:15878900 (description, gene)
  AUTHORS   Josso N, Belville C, di Clemente N, Picard JY
  TITLE     AMH and AMH receptor defects in persistent Mullerian duct syndrome.
  JOURNAL   Hum Reprod Update 11:351-6 (2005)
DOI:10.1093/humupd/dmi014

PMID:21256920 (description, gene)
  AUTHORS   Kalfa N, Philibert P, Baskin LS, Sultan C
  TITLE     Hypospadias: interactions between environment and genetics.
  JOURNAL   Mol Cell Endocrinol 335:89-95 (2011)
DOI:10.1016/j.mce.2011.01.006

PMID:20920735 (description, gene)
  AUTHORS   Thorup J, McLachlan R, Cortes D, Nation TR, Balic A, Southwell BR, Hutson JM
  TITLE     What is new in cryptorchidism and hypospadias--a critical review on the testicular dysgenesis hypothesis.
  JOURNAL   J Pediatr Surg 45:2074-86 (2010)
DOI:10.1016/j.jpedsurg.2010.07.030",MeSH,D058490,C536665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00718,Sotos syndrome,"Overgrowth syndromes are a heterogeneous group of disorders resulting from the dysfunction of various processes involving cell proliferation, cell growth, or apoptosis. Within this group, Sotos syndrome is characterised  by overgrowth, multiple congenital anomalies, and developmental delay.  It has been reported that the majority of patients with typical Sotos and Weaver syndrome have intragenic mutations or deletions of NSD1, and thus, represent allelic disorders.",Developmental disorder,NSD1 [HSA:64324] [KO:K15588],,,,,,"Beckwith-Wiedemann syndrome [DS:H00713] is a distinct overgrowth condition, and a few cases could be related to NSD1 deletions or mutations.
See also H01751 Weaver syndrome.","ICD-10: Q87.3
MeSH: D058495 C536687
OMIM: 117550 277590","PMID:12807965
  AUTHORS   Rio M, Clech L, Amiel J, Faivre L, Lyonnet S, Le Merrer M, Odent S, Lacombe D, Edery P, Brauner R, Raoul O, Gosset P, Prieur M, Vekemans M, Munnich A, Colleaux L, Cormier-Daire V
  TITLE     Spectrum of NSD1 mutations in Sotos and Weaver syndromes.
  JOURNAL   J Med Genet 40:436-40 (2003)
DOI:10.1136/jmg.40.6.436

PMID:12464997
  AUTHORS   Douglas J, Hanks S, Temple IK, Davies S, Murray A, Upadhyaya M, Tomkins S, Hughes HE, Cole TR, Rahman N
  TITLE     NSD1 mutations are the major cause of Sotos syndrome and occur in some cases of Weaver syndrome but are rare in other overgrowth phenotypes.
  JOURNAL   Am J Hum Genet 72:132-43 (2003)
DOI:10.1086/345647

PMID:14997421
  AUTHORS   Baujat G, Rio M, Rossignol S, Sanlaville D, Lyonnet S, Le Merrer M, Munnich A, Gicquel C, Cormier-Daire V, Colleaux L
  TITLE     Paradoxical NSD1 mutations in Beckwith-Wiedemann syndrome and 11p15 anomalies in Sotos syndrome.
  JOURNAL   Am J Hum Genet 74:715-20 (2004)
DOI:10.1086/383093",MeSH,D058495,C536687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01203,Primary congenital glaucoma (PCG),"Primary congenital glaucoma (PCG) is a severe form of glaucoma that presents early in life. PCG results from developmental abnormalities that affect the aqueous humor outflow pathway. PCG clinical features include elevated IOP, corneal edema, enlargement of the globe (buphthalmos), corneal enlargement, rupture of Descemet's membrane, and optic nerve damage. Two genes have been reported to cause PCG, CYP1B1 and LTBP2. Both genes cause a recessive form of this disease.",Developmental disorder; Eye disease,"(GLC3A) CYP1B1 [HSA:1545] [KO:K07410]
(GLC3D) LTBP2 [HSA:4053] [KO:K08023]",,,,,"Surgery for glaucoma: goniotomy, goniopuncture, trabeculotomy, and trabeculectomy.",,"ICD-10: Q15.0
MeSH: C565547 C536824 C567765
OMIM: 231300 613086","PMID:22128238
  AUTHORS   Abu-Amero KK, Osman EA, Mousa A, Wheeler J, Whigham B, Allingham RR, Hauser MA, Al-Obeidan SA
  TITLE     Screening of CYP1B1 and LTBP2 genes in Saudi families with primary congenital glaucoma: genotype-phenotype correlation.
  JOURNAL   Mol Vis 17:2911-9 (2011)

PMID:21081970
  AUTHORS   Azmanov DN, Dimitrova S, Florez L, Cherninkova S, Draganov D, Morar B, Saat R, Juan M, Arostegui JI, Ganguly S, Soodyall H, Chakrabarti S, Padh H, Lopez-Nevot MA, Chernodrinska V, Anguelov B, Majumder P, Angelova L, Kaneva R, Mackey DA, Tournev I, Kalaydjieva L
  TITLE     LTBP2 and CYP1B1 mutations and associated ocular phenotypes in the Roma/Gypsy founder population.
  JOURNAL   Eur J Hum Genet 19:326-33 (2011)
DOI:10.1038/ejhg.2010.181

PMID:21150024
  AUTHORS   Sharaawy T, Bhartiya S
  TITLE     Surgical management of glaucoma: evolving paradigms.
  JOURNAL   Indian J Ophthalmol 59 Suppl:S123-30 (2011)
DOI:10.4103/0301-4738.73692",MeSH,C565547,C536824,C567765,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00531,"Venous malformations, including:
Sporadic venous malformation;
Cutaneomucosal venous malformation;
Glomuvenous malformation","Venous malformations are vascular anomalies that present with congenital blue-colored birthmarks resulted from dilated veins. Venous malformations are low-flow vascular malformations. Majority of them occur in the head and neck region. Birthmarks in cutaneomucosal venous malformation appear mainly on skin and mucosa, whereas plaques in glomuvenous malformation are located on the extremities, usually nodular and associated with abnormal smooth muscle-like 'glomus cells'. Most cases are unifocal, with extensive venous malformations accounting for only one percent of cases and more commonly manifesting as rare, inherited forms. Venous malformations will grow with age, infiltrating normal structures. They can give rise to functional disabilities, including obstruction to airway and swallowing difficulties. Also, they can cause visual or auditory disturbance and delayed speech development. In addition, bleeding, pain, infection, skeletal deformity, and cosmetic disfigurement may occur. Active treatment of venous malformations is indicated especially in head and neck region. Surgery can cause damage to normal surrounding structures, resulting in significant disfigurement and loss of function. Complete excision is often impossible for infiltrative lesions. Sclerotherapy has gained popularity recently and become the first-line treatment for venous malformations in head and neck region.",Developmental disorder; Vascular disease,"(sporadic, cutaneomucosal) TIE2 [HSA:7010] [KO:K05121]
(glomuvenous) GLMN [HSA:11146]",,,,,,,"ICD-10: Q27.3
MeSH: C563977 C536827
OMIM: 600195 138000","PMID:26483982
  AUTHORS   Amato MV, Patel NA, Hu S, Pantelides H
  TITLE     Sporadic Multifocal Venous Malformations of the Head and Neck.
  JOURNAL   Case Rep Otolaryngol 2015:508149 (2015)
DOI:10.1155/2015/508149

PMID:24008546
  AUTHORS   Leung M, Leung L, Fung D, Poon WL, Liu C, Chung K, Tang P, Tse S, Fan TW, Chao N, Liu K
  TITLE     Management of the low-flow head and neck vascular malformations in children: the sclerotherapy protocol.
  JOURNAL   Eur J Pediatr Surg 24:97-101 (2014)
DOI:10.1055/s-0033-1354585

PMID:17670762 (description, gene)
  AUTHORS   Brouillard P, Vikkula M
  TITLE     Genetic causes of vascular malformations.
  JOURNAL   Hum Mol Genet 16 Spec No. 2:R140-9 (2007)
DOI:10.1093/hmg/ddm211

PMID:16379592 (description, gene)
  AUTHORS   Wang QK
  TITLE     Update on the molecular genetics of vascular anomalies.
  JOURNAL   Lymphat Res Biol 3:226-33 (2005)
DOI:10.1089/lrb.2005.3.226

PMID:19079259 (gene)
  AUTHORS   Limaye N, Wouters V, Uebelhoer M, Tuominen M, Wirkkala R, Mulliken JB, Eklund L, Boon LM, Vikkula M
  TITLE     Somatic mutations in angiopoietin receptor gene TEK cause solitary and multiple sporadic venous malformations.
  JOURNAL   Nat Genet 41:118-24 (2009)
DOI:10.1038/ng.272",MeSH,C563977,C536827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00178,"Glutaric acidemia, including:
Glutaric acidemia, type I (GA1);
Glutaric acidemia, type II (GA2);
Multiple acyl coenzyme A dehydrogenase deficiency",Glutaric aciduria type I is an autosomal recessive disorder resulting from a deficiency of glutaryl-CoA dehydrogenase leading to an accumulation of glutaric and 3-hydroxyglutaric acids and secondary carnitine deficiency. Glutaric aciduria type II is caused by a deficiency of either electron transport flavoprotein or of electron transport flavoprotein oxoreductase.,Inherited metabolic disease,"(GA1) GCDH; glutaryl-CoA dehydrogenase [HSA:2639] [KO:K00252]
(GA2) ETFA; electron transfer flavoprotein alpha subunit [HSA:2108] [KO:K03522]
(GA2) ETFB; electron transfer flavoprotein beta subunit [HSA:2109] [KO:K03521]
(GA2) ETFDH; electron-transferring-flavoprotein dehydrogenase [HSA:2110] [KO:K00311]
(GA3) SUGCT; succinate--hydroxymethylglutarate CoA-transferase [HSA:79783] [KO:K18703]",,,,"(GA1) 3-hydroxyglutarate
(GA2) 2-hydroxyglutarate [CPD:C02630]
(GA2) Methylmalonate [CPD:C02170]
(GA2) Hippurate [CPD:C01586]
(GA2) adipic acid","Baclofen [DR:D00241]
Riboflavin [DG:DG00130]
Carnitine [DR:D02030]
Sodium-D,L-3-hydroxybutyrate",,"ICD-10: E71.3 E72.3
MeSH: D054069 C536833
OMIM: 231670 231680 231690","PMID:16368216
  AUTHORS   Gordon N
  TITLE     Glutaric aciduria types I and II.
  JOURNAL   Brain Dev 28:136-40 (2006)
DOI:10.1016/j.braindev.2005.06.010

PMID:23893049
  AUTHORS   Marlaire S, Van Schaftingen E, Veiga-da-Cunha M
  TITLE     C7orf10 encodes succinate-hydroxymethylglutarate CoA-transferase, the enzyme that converts glutarate to glutaryl-CoA.
  JOURNAL   J Inherit Metab Dis 37:13-9 (2014)
DOI:10.1007/s10545-013-9632-0",MeSH,D054069,C536833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H00890,"Azoospermia, including:
Azoospermia;
Azoospermia due to perturbations of meiosis",Azoospermia is a disorder in which there is a complete absence of sperm in the semen. It is classified as obstructive azoospermia caused by problems with sperm transport and nonobstructive azoospermia caused by failure of spermatogenesis. Y-linked gene USP9Y has been implicated in moderate oligoasthenoteratozoospermia and azoospermia. SYCP3 mutations lead to complete infertility due to meiotic arrest.,Reproductive system disease,"USP9Y [HSA:8287] [KO:K11840]
(meiosis) SYCP3 [HSA:50511] [KO:K19528]",,,,,,,"ICD-10: N46
MeSH: D053713 C536875
OMIM: 415000 270960","PMID:21195467 (description)
  AUTHORS   Lee JY, Dada R, Sabanegh E, Carpi A, Agarwal A
  TITLE     Role of genetics in azoospermia.
  JOURNAL   Urology 77:598-601 (2011)
DOI:10.1016/j.urology.2010.10.001

PMID:19246366 (description, gene)
  AUTHORS   Tyler-Smith C, Krausz C
  TITLE     The will-o'-the-wisp of genetics--hunting for the azoospermia factor gene.
  JOURNAL   N Engl J Med 360:925-7 (2009)
DOI:10.1056/NEJMe0900301

PMID:19246359 (description, gene)
  AUTHORS   Luddi A, Margollicci M, Gambera L, Serafini F, Cioni M, De Leo V, Balestri P, Piomboni P
  TITLE     Spermatogenesis in a man with complete deletion of USP9Y.
  JOURNAL   N Engl J Med 360:881-5 (2009)
DOI:10.1056/NEJMoa0806218

PMID:14643120 (description, gene)
  AUTHORS   Miyamoto T, Hasuike S, Yogev L, Maduro MR, Ishikawa M, Westphal H, Lamb DJ
  TITLE     Azoospermia in patients heterozygous for a mutation in SYCP3.
  JOURNAL   Lancet 362:1714-9 (2003)
DOI:10.1016/S0140-6736(03)14845-3

PMID:19110213 (description)
  AUTHORS   Bolor H, Mori T, Nishiyama S, Ito Y, Hosoba E, Inagaki H, Kogo H, Ohye T, Tsutsumi M, Kato T, Tong M, Nishizawa H, Pryor-Koishi K, Kitaoka E, Sawada T, Nishiyama Y, Udagawa Y, Kurahashi H
  TITLE     Mutations of the SYCP3 gene in women with recurrent pregnancy loss.
  JOURNAL   Am J Hum Genet 84:14-20 (2009)
DOI:10.1016/j.ajhg.2008.12.002",MeSH,D053713,C536875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
